ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
25321,32,student,single,tertiary,no,64,no,no,cellular,30,jun,598,4,105,5,failure
25329,35,technician,single,secondary,no,5731,yes,no,cellular,4,may,164,2,167,4,other
25336,46,blue-collar,married,secondary,no,345,yes,yes,telephone,4,feb,86,1,259,3,other
25339,34,technician,married,tertiary,no,0,no,no,cellular,6,oct,89,1,133,1,failure
25351,48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure
25352,40,blue-collar,married,primary,no,332,yes,no,cellular,12,may,339,2,369,3,failure
25353,57,management,married,tertiary,no,334,yes,no,cellular,15,may,169,2,365,2,failure
25354,40,blue-collar,married,secondary,no,668,yes,no,cellular,17,apr,156,2,318,1,other
25355,47,admin.,married,secondary,no,0,no,no,cellular,10,nov,213,1,190,1,other
25364,28,technician,single,secondary,no,3,no,no,telephone,18,may,40,8,349,6,failure
25369,34,services,single,primary,no,25,yes,yes,cellular,9,apr,96,4,314,8,other
25371,28,services,single,secondary,no,0,no,no,cellular,2,feb,188,1,206,2,other
25389,35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,may,429,4,164,2,failure
25391,37,management,married,tertiary,no,591,yes,no,cellular,7,may,181,2,255,5,failure
25392,61,retired,married,secondary,no,5207,no,no,cellular,11,sep,336,1,81,2,other
25398,37,admin.,married,secondary,no,2061,yes,yes,cellular,7,oct,867,2,107,4,success
25405,43,admin.,single,secondary,no,1707,yes,no,cellular,6,sep,369,3,504,5,other
25413,51,management,married,tertiary,no,346,no,no,cellular,11,aug,237,1,180,6,success
25415,38,admin.,married,secondary,no,47,yes,no,cellular,10,aug,120,1,98,5,success
25444,35,self-employed,married,tertiary,no,980,no,no,cellular,2,aug,428,2,336,6,failure
25452,34,management,single,tertiary,no,673,yes,yes,cellular,20,nov,271,1,184,1,failure
25458,50,technician,married,secondary,no,3370,no,no,cellular,21,aug,531,2,80,2,success
25468,31,management,single,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure
25475,35,admin.,married,secondary,no,514,yes,no,cellular,25,may,56,1,185,1,other
25493,37,management,married,primary,no,3953,yes,no,cellular,6,apr,610,2,138,1,failure
25494,42,management,married,tertiary,no,1205,no,no,telephone,15,mar,129,1,188,2,success
25495,37,management,single,tertiary,no,2163,no,no,cellular,25,jan,114,1,234,1,failure
25507,37,admin.,single,secondary,no,22,yes,no,cellular,7,may,28,2,289,5,failure
25510,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,273,2,131,1,failure
25511,36,technician,single,secondary,no,75,yes,no,cellular,12,may,485,2,342,4,other
25520,36,blue-collar,single,tertiary,no,1830,no,no,cellular,15,jul,185,5,181,6,failure
25526,42,technician,married,secondary,no,2152,no,no,cellular,30,mar,361,2,181,2,failure
25540,50,services,divorced,secondary,no,2015,yes,no,cellular,20,apr,715,1,152,1,failure
25551,59,services,married,primary,no,1562,yes,no,telephone,6,apr,471,2,270,1,other
25558,34,technician,married,secondary,no,656,yes,no,cellular,15,may,10,7,372,1,other
25566,38,technician,married,secondary,no,581,yes,no,cellular,2,feb,223,2,272,1,failure
25570,37,admin.,single,secondary,no,1560,yes,no,cellular,21,nov,67,1,163,2,failure
25582,50,management,single,tertiary,no,567,yes,no,cellular,29,jan,50,1,258,8,failure
25583,34,management,married,tertiary,no,158,no,no,cellular,9,sep,278,2,132,4,failure
25585,64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,182,1,success
25592,38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure
25606,60,services,married,tertiary,no,4256,yes,no,cellular,16,nov,200,1,92,4,success
25611,37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success
25614,35,unemployed,married,secondary,no,978,no,no,cellular,29,dec,1370,3,209,3,success
25628,54,retired,single,secondary,no,515,yes,no,cellular,6,feb,115,2,234,1,failure
25632,70,technician,married,secondary,no,3020,no,no,telephone,2,nov,358,2,186,1,failure
25636,45,technician,divorced,secondary,no,976,yes,no,cellular,17,apr,183,1,338,2,failure
25641,52,entrepreneur,married,tertiary,no,1115,yes,no,cellular,20,nov,69,1,164,2,failure
25648,30,technician,single,secondary,no,853,no,no,cellular,29,oct,279,1,148,1,failure
25649,48,blue-collar,married,secondary,no,1730,yes,no,cellular,4,may,361,1,89,3,success
25662,37,unemployed,divorced,secondary,no,74,yes,no,cellular,6,feb,120,1,275,1,failure
25670,44,blue-collar,married,secondary,no,1324,yes,no,telephone,25,oct,119,1,89,2,other
25677,31,services,single,secondary,no,122,yes,no,cellular,4,feb,157,4,268,2,failure
25684,32,services,single,secondary,no,344,no,yes,cellular,21,nov,21,7,141,9,other
25697,59,management,married,tertiary,no,1857,no,no,cellular,29,jan,386,1,168,4,failure
25698,37,blue-collar,married,primary,no,240,yes,no,cellular,11,may,259,1,370,2,other
25706,30,entrepreneur,married,secondary,no,946,yes,no,cellular,19,nov,1065,1,183,1,other
25719,43,management,married,tertiary,no,1188,no,no,cellular,13,oct,1573,2,139,2,failure
