户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,单价,地铁,地铁距离,总价
2室1厅1卫,64.48平米,东南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,硚口,13958元/平米,1号线,587米,90.0
2室2厅1卫,64.1平米,西南,中层,精装修,,有,商品房,普通住宅,平层,板楼,江岸,16069元/平米,8号线,946米,103.0
4室2厅2卫,147平米,南北,高层,精装修,2017年,有,个人产权,个人产权,平层,板楼,硚口,12245元/平米,1号线,532米,180.0
1室0厅1卫,27.56平米,南,中层,精装修,,无,个人产权,个人产权,平层,,江岸,30842元/平米,1号线,375米,85.0
3室2厅1卫,92.13平米,东南,顶层,精装修,,有,个人产权,个人产权,平层,板楼,硚口,12482元/平米,1号线,468米,115.0
3室2厅1卫,112.06平米,南,中层,精装修,,有,个人产权,个人产权,平层,板楼,硚口,10709元/平米,无,无,120.0
2室2厅1卫,79.84平米,南北,低层,简装修,1997年,无,商品房,普通住宅,平层,,江岸,21919元/平米,1号线,375米,175.0
4室2厅3卫,228.64平米,南北,高层,精装修,2023年,有,个人产权,个人产权,平层,板楼,武昌,33677元/平米,5号线,450米,770.0
4室2厅2卫,148.05平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,17224元/平米,7号线,509米,255.0
3室2厅2卫,98平米,南,中层,毛坯,2020年,有,个人产权,个人产权,平层,板楼,沌口,8163元/平米,无,无,80.0
3室2厅1卫,110.39平米,东南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,19023元/平米,7号线,509米,210.0
3室2厅2卫,129.16平米,南北,低层,中装修,2005年,有,商品房,普通住宅,平层,板楼,武昌,15485元/平米,7号线,613米,200.0
3室2厅1卫,86.33平米,南,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,13089元/平米,无,无,113.0
4室2厅3卫,265平米,南,中层,精装修,2022年,有,个人产权,个人产权,平层,板楼,江岸,36604元/平米,1号线,366米,970.0
2室2厅1卫,89.1平米,南北,中层,精装修,2008年,有,商品房,普通住宅,平层,板楼,武昌,12121元/平米,7号线,258米,108.0
3室2厅2卫,132.03平米,南北,中层,精装修,2017年,有,商品房,普通住宅,平层,板楼,东湖高新区,18859元/平米,无,无,249.0
3室2厅2卫,112平米,南北,低层,精装修,2017年,有,个人产权,个人产权,平层,板楼,硚口,7857元/平米,1号线,786米,88.0
3室2厅1卫,107.94平米,南北,中层,精装修,2002年,有,商品房,普通住宅,平层,板楼,洪山,16861元/平米,无,无,182.0
3室2厅1卫,88.99平米,南,中层,精装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,13148元/平米,7号线,905米,117.0
4室2厅2卫,129.18平米,南北,高层,精装修,2011年,有,商品房,普通住宅,平层,板楼,洪山,12850元/平米,8号线,1192米,166.0
3室2厅2卫,130.97平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,18325元/平米,7号线,292米,240.0
2室2厅1卫,77.23平米,南,低层,精装修,2019年,有,商品房,普通住宅,平层,板楼,洪山,13984元/平米,5号线,309米,108.0
2室2厅2卫,133.17平米,南北,中层,中装修,2014年,有,商品房,普通住宅,平层,板楼,洪山,12766元/平米,8号线,717米,170.0
3室2厅2卫,125.74平米,南北,中层,精装修,2005年,有,商品房,普通住宅,平层,板楼,武昌,16701元/平米,7号线,613米,210.0
4室2厅1卫,139.76平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,18031元/平米,19号线,964米,252.0
3室2厅2卫,108.75平米,南北,低层,精装修,2021年,有,商品房,普通住宅,平层,板楼,武昌,19770元/平米,11号线,991米,215.0
3室2厅1卫,93.86平米,南,低层,精装修,2013年,有,商品房,普通住宅,平层,板楼,洪山,14383元/平米,8号线,929米,135.0
3室2厅2卫,133.88平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,18599元/平米,7号线,613米,249.0
3室2厅3卫,168.08平米,南北,低层,精装修,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,19574元/平米,2号线,600米,329.0
3室2厅2卫,99平米,南北,中层,毛坯,2023年,有,商品房,普通住宅,平层,板楼,汉阳,10909元/平米,6号线,1097米,108.0
3室1厅1卫,83.65平米,西,中层,精装修,2016年,有,商品房,普通住宅,平层,板楼,东湖高新区,13389元/平米,无,无,112.0
3室2厅2卫,102.75平米,南北,底层,简装修,2025年,有,商品房,普通住宅,平层,板楼,青山,16545元/平米,5号线,383米,170.0
3室2厅1卫,125平米,南北,高层,精装修,2021年,有,个人产权,个人产权,平层,板楼,洪山,15200元/平米,5号线,1199米,190.0
3室2厅2卫,95平米,南北,底层,简装修,2025年,有,商品房,普通住宅,平层,板楼,东湖高新区,16316元/平米,11号线,379米,155.0
3室2厅1卫,107.32平米,南,低层,毛坯,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,18636元/平米,11号线,685米,200.0
3室1厅1卫,84.48平米,南,中层,精装修,2016年,有,商品房,普通住宅,平层,板楼,东湖高新区,15152元/平米,无,无,128.0
3室2厅2卫,101.78平米,南,中层,精装修,2019年,有,商品房,普通住宅,平层,板楼,洪山,7074元/平米,无,无,72.0
3室2厅1卫,86.43平米,南北,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,12727元/平米,无,无,110.0
3室2厅1卫,123.49平米,南北,高层,精装修,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,16843元/平米,无,无,208.0
3室2厅2卫,122.67平米,南北,中层,精装修,2008年,有,商品房,普通住宅,平层,板楼,武昌,12228元/平米,7号线,815米,150.0
2室1厅1卫,85.15平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,22314元/平米,7号线,407米,190.0
3室2厅1卫,91.1平米,南,低层,精装修,2012年,有,商品房,普通住宅,平层,板楼,洪山,13721元/平米,5号线,598米,125.0
3室2厅1卫,104.98平米,南,中层,毛坯,2020年,有,商品房,普通住宅,平层,板楼,洪山,17051元/平米,无,无,179.0
3室2厅2卫,130.06平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,16300元/平米,7号线,1008米,212.0
3室2厅1卫,123.18平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,15019元/平米,2号线,800米,185.0
3室2厅2卫,130平米,东北,底层,简装修,2025年,有,商品房,普通住宅,平层,板楼,武昌,21538元/平米,8号线,607米,280.0
3室2厅2卫,125平米,南北,高层,毛坯,2021年,有,商品房,普通住宅,平层,板楼,武昌,15600元/平米,11号线,472米,195.0
4室2厅2卫,189.16平米,,,毛坯,2021年,,,独栋,,,蔡甸,17446元/平米,无,无,330.0
4室1厅2卫,127.5平米,南北,高层,简装修,1999年,有,商品房,普通住宅,平层,板楼,武昌,14510元/平米,7号线,1036米,185.0
3室2厅3卫,150平米,,,毛坯,2018年,,,独栋,,,武汉周边,6133元/平米,无,无,92.0
4室2厅2卫,140.45平米,南北,中层,精装修,2020年,有,个人产权,个人产权,平层,板楼,汉阳,17088元/平米,4号线,217米,240.0
3室1厅1卫,89.34平米,南,中层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,10410元/平米,6号线,830米,93.0
2室2厅1卫,92.1平米,南北,中层,精装修,,有,商品房,普通住宅,平层,板楼,东湖高新区,17372元/平米,2号线,861米,160.0
4室2厅3卫,230平米,南北,中层,毛坯,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,15522元/平米,无,无,357.0
4室2厅3卫,214平米,,,毛坯,2019年,,,独栋,,,武汉周边,6308元/平米,无,无,135.0
4室2厅3卫,182平米,,,毛坯,2016年,,,独栋,,,武汉周边,5275元/平米,无,无,96.0
