户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,单价,地铁,地铁距离,总价
2室1厅1卫,64.48,东南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,硚口,13958.0,1号线,587米,90.0
2室2厅1卫,64.1,西南,中层,精装修,2009,有,商品房,普通住宅,平层,板楼,江岸,16069.0,8号线,946米,103.0
4室2厅2卫,148.05,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,17224.0,7号线,509米,255.0
3室2厅1卫,110.39,东南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,19023.0,7号线,509米,210.0
3室2厅2卫,129.16,南北,低层,中装修,2005,有,商品房,普通住宅,平层,板楼,武昌,15485.0,7号线,613米,200.0
3室2厅1卫,86.33,南,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,13089.0,无,无,113.0
2室2厅1卫,89.1,南北,中层,精装修,2008,有,商品房,普通住宅,平层,板楼,武昌,12121.0,7号线,258米,108.0
3室2厅2卫,132.03,南北,中层,精装修,2017,有,商品房,普通住宅,平层,板楼,东湖高新区,18859.0,无,无,249.0
3室2厅1卫,107.94,南北,中层,精装修,2002,有,商品房,普通住宅,平层,板楼,洪山,16861.0,无,无,182.0
3室2厅1卫,88.99,南,中层,精装修,2014,有,商品房,普通住宅,平层,板楼,洪山,13148.0,7号线,905米,117.0
4室2厅2卫,129.18,南北,高层,精装修,2011,有,商品房,普通住宅,平层,板楼,洪山,12850.0,8号线,1192米,166.0
3室2厅2卫,130.97,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,18325.0,7号线,292米,240.0
2室2厅1卫,77.23,南,低层,精装修,2019,有,商品房,普通住宅,平层,板楼,洪山,13984.0,5号线,309米,108.0
2室2厅2卫,133.17,南北,中层,中装修,2014,有,商品房,普通住宅,平层,板楼,洪山,12766.0,8号线,717米,170.0
3室2厅2卫,125.74,南北,中层,精装修,2005,有,商品房,普通住宅,平层,板楼,武昌,16701.0,7号线,613米,210.0
4室2厅1卫,139.76,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,18031.0,19号线,964米,252.0
3室2厅2卫,108.75,南北,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,武昌,19770.0,11号线,991米,215.0
3室2厅1卫,93.86,南,低层,精装修,2013,有,商品房,普通住宅,平层,板楼,洪山,14383.0,8号线,929米,135.0
3室2厅2卫,133.88,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,18599.0,7号线,613米,249.0
3室2厅3卫,168.08,南北,低层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,19574.0,2号线,600米,329.0
3室2厅2卫,99.0,南北,中层,毛坯,2023,有,商品房,普通住宅,平层,板楼,汉阳,10909.0,6号线,1097米,108.0
3室1厅1卫,83.65,西,中层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,13389.0,无,无,112.0
3室2厅2卫,102.75,南北,底层,简装修,2025,有,商品房,普通住宅,平层,板楼,青山,16545.0,5号线,383米,170.0
3室2厅2卫,95.0,南北,底层,简装修,2025,有,商品房,普通住宅,平层,板楼,东湖高新区,16316.0,11号线,379米,155.0
3室2厅1卫,107.32,南,低层,毛坯,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,18636.0,11号线,685米,200.0
3室1厅1卫,84.48,南,中层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,15152.0,无,无,128.0
3室2厅2卫,101.78,南,中层,精装修,2019,有,商品房,普通住宅,平层,板楼,洪山,7074.0,无,无,72.0
3室2厅1卫,86.43,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,12727.0,无,无,110.0
3室2厅1卫,123.49,南北,高层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,16843.0,无,无,208.0
3室2厅2卫,122.67,南北,中层,精装修,2008,有,商品房,普通住宅,平层,板楼,武昌,12228.0,7号线,815米,150.0
2室1厅1卫,85.15,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,22314.0,7号线,407米,190.0
3室2厅1卫,91.1,南,低层,精装修,2012,有,商品房,普通住宅,平层,板楼,洪山,13721.0,5号线,598米,125.0
3室2厅1卫,104.98,南,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,洪山,17051.0,无,无,179.0
3室2厅2卫,130.06,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,16300.0,7号线,1008米,212.0
